2023-07-10 20:57:35 startup archives unpack
2023-07-10 20:57:36 upgrade bash-completion 1:1.3-1ubuntu8 1:2.1-4
2023-07-10 20:57:36 status half-configured bash-completion 1:1.3-1ubuntu8
2023-07-10 20:57:36 status unpacked bash-completion 1:1.3-1ubuntu8
2023-07-10 20:57:36 status half-installed bash-completion 1:1.3-1ubuntu8
2023-07-10 20:57:49 status triggers-pending man-db 2.6.1-2
2023-07-10 20:57:49 status half-installed bash-completion 1:1.3-1ubuntu8
2023-07-10 20:57:49 status half-installed bash-completion 1:1.3-1ubuntu8
2023-07-10 20:57:49 status unpacked bash-completion 1:2.1-4
2023-07-10 20:57:49 status unpacked bash-completion 1:2.1-4
2023-07-10 20:57:49 install liberror-perl <none> 0.17-1.1
2023-07-10 20:57:49 status half-installed liberror-perl 0.17-1.1
2023-07-10 20:57:49 status half-installed liberror-perl 0.17-1.1
2023-07-10 20:57:49 status unpacked liberror-perl 0.17-1.1
2023-07-10 20:57:49 status unpacked liberror-perl 0.17-1.1
2023-07-10 20:57:49 install git-man <none> 1:1.9.1-1
2023-07-10 20:57:49 status half-installed git-man 1:1.9.1-1
2023-07-10 20:57:49 status half-installed git-man 1:1.9.1-1
2023-07-10 20:57:49 status unpacked git-man 1:1.9.1-1
2023-07-10 20:57:49 status unpacked git-man 1:1.9.1-1
2023-07-10 20:57:49 install git <none> 1:1.9.1-1
2023-07-10 20:57:49 status half-installed git 1:1.9.1-1
2023-07-10 20:57:50 status unpacked git 1:1.9.1-1
2023-07-10 20:57:50 status unpacked git 1:1.9.1-1
2023-07-10 20:57:50 trigproc man-db 2.6.1-2 2.6.1-2
2023-07-10 20:57:50 status half-configured man-db 2.6.1-2
2023-07-10 20:57:51 status installed man-db 2.6.1-2
2023-07-10 20:57:51 startup packages configure
2023-07-10 20:57:51 configure bash-completion 1:2.1-4 <none>
2023-07-10 20:57:51 status unpacked bash-completion 1:2.1-4
2023-07-10 20:57:51 status unpacked bash-completion 1:2.1-4
2023-07-10 20:57:51 status unpacked bash-completion 1:2.1-4
2023-07-10 20:57:51 status half-configured bash-completion 1:2.1-4
2023-07-10 20:57:53 status installed bash-completion 1:2.1-4
2023-07-10 20:57:53 configure liberror-perl 0.17-1.1 <none>
2023-07-10 20:57:53 status unpacked liberror-perl 0.17-1.1
2023-07-10 20:57:53 status half-configured liberror-perl 0.17-1.1
2023-07-10 20:57:53 status installed liberror-perl 0.17-1.1
2023-07-10 20:57:53 configure git-man 1:1.9.1-1 <none>
2023-07-10 20:57:53 status unpacked git-man 1:1.9.1-1
2023-07-10 20:57:53 status half-configured git-man 1:1.9.1-1
2023-07-10 20:57:53 status installed git-man 1:1.9.1-1
2023-07-10 20:57:53 configure git 1:1.9.1-1 <none>
2023-07-10 20:57:53 status unpacked git 1:1.9.1-1
2023-07-10 20:57:53 status unpacked git 1:1.9.1-1
2023-07-10 20:57:53 status half-configured git 1:1.9.1-1
2023-07-10 20:57:53 status installed git 1:1.9.1-1
